| name                            | title                               | level | facing   | categories   | description                                                                 | detail                                                                                                                                   | remediation                                                                                              | metadata                                                                      | cache_key                                                                                           |
| ------------------------------- | ----------------------------------- | ----- | -------- | ------------ | --------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------- | ----------------------------------------------------------------------------- | --------------------------------------------------------------------------------------------------- |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.update_updated_at_column\` has a role mutable search_path                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"update_updated_at_column","type":"function","schema":"public"}       | function_search_path_mutable_public_update_updated_at_column_06bcf30ac3d0a7f279a54cbf228a7bec       |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.update_questions_search_vector\` has a role mutable search_path                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"update_questions_search_vector","type":"function","schema":"public"} | function_search_path_mutable_public_update_questions_search_vector_f959d8a85340cbc3e47b66189c32bfab |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.update_subjects_search_vector\` has a role mutable search_path                                                         | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"update_subjects_search_vector","type":"function","schema":"public"}  | function_search_path_mutable_public_update_subjects_search_vector_2bed19cbcd2ee1e4e3639bf742d7fda1  |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.encrypt_sensitive_data\` has a role mutable search_path                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"encrypt_sensitive_data","type":"function","schema":"public"}         | function_search_path_mutable_public_encrypt_sensitive_data_d76b9fae3f8a40ace11e53df4fa557c1         |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.decrypt_sensitive_data\` has a role mutable search_path                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"decrypt_sensitive_data","type":"function","schema":"public"}         | function_search_path_mutable_public_decrypt_sensitive_data_2460d6536438bae8d49c7cc74c612254         |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.anonymize_user_data\` has a role mutable search_path                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"anonymize_user_data","type":"function","schema":"public"}            | function_search_path_mutable_public_anonymize_user_data_6c96410461aefc66d6ae8ebdc62bb276            |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.enforce_data_retention\` has a role mutable search_path                                                                | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"enforce_data_retention","type":"function","schema":"public"}         | function_search_path_mutable_public_enforce_data_retention_d185aa5aaa39eef7d928c47f7e73584f         |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.check_user_permission\` has a role mutable search_path                                                                 | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"check_user_permission","type":"function","schema":"public"}          | function_search_path_mutable_public_check_user_permission_24dcfc4e639fa4a8651d310f8c0e7da9          |
| function_search_path_mutable    | Function Search Path Mutable        | WARN  | EXTERNAL | ["SECURITY"] | Detects functions where the search_path parameter is not set.               | Function \`public.run_daily_compliance_tasks\` has a role mutable search_path                                                            | https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable         | {"name":"run_daily_compliance_tasks","type":"function","schema":"public"}     | function_search_path_mutable_public_run_daily_compliance_tasks_e84a91a8d5da381214eb377f86e45b74     |
